low	4	B	1424.45252340
low	4	boot	1424.46241447
low	1	B	1420.38252340
low	1	boot	1420.41589822
low	6	B	1426.65294117
low	6	boot	1426.64493828
low	2	B	1421.83371406
low	2	boot	1421.85025452
low	3	B	1422.46159276
low	3	boot	1422.46040174
low	7	B	1427.39500673
low	7	boot	1427.36459933
low	0	B	1419.44789052
low	0	boot	1419.42339677
low	5	B	1425.86788277
low	5	boot	1425.87351709
low	10	B	1431.20449713
low	10	boot	1431.21931047
low	8	B	1428.61829491
low	8	boot	1428.59297556
low	12	B	1433.79796744
low	12	boot	1433.82104696
low	11	B	1432.06813307
low	11	boot	1432.05074032
low	9	B	1429.63349536
low	9	boot	1429.64990818
low	15	B	1437.22804024
low	15	boot	1437.22595475
low	13	B	1434.59754556
low	13	boot	1434.58450296
low	14	B	1435.68684501
low	14	boot	1435.69292729
low	16	B	1438.02167190
low	16	boot	1438.00532307
low	18	B	1439.63186944
low	18	boot	1439.62491197
low	17	B	1438.92145230
low	17	boot	1438.95124732
low	19	B	1441.96673199
low	19	boot	1441.96120851
mid	3	B	74855.88660637
mid	3	boot	74855.87838284
mid	0	B	74854.20479160
mid	0	boot	74854.17483653
mid	2	B	74855.05109020
mid	2	boot	74855.03751711
mid	1	B	74854.49703082
mid	1	boot	74854.53003703
mid	4	B	74856.70453232
mid	4	boot	74856.72035399
mid	5	B	74857.41781859
mid	5	boot	74857.39244514
mid	7	B	74858.83661867
mid	7	boot	74858.85882793
mid	6	B	74857.68244289
mid	6	boot	74857.71727809
mid	8	B	74859.65109311
mid	8	boot	74859.65732273
mid	10	B	74860.84203464
mid	10	boot	74860.80729919
mid	9	B	74860.20913343
mid	9	boot	74860.21251686
mid	11	B	74861.05925575
mid	11	boot	74861.08429005
mid	12	B	74861.78495439
mid	12	boot	74861.78763297
mid	18	B	74866.37997947
mid	18	boot	74866.37343006
mid	13	B	74862.50553975
mid	13	boot	74862.48306437
mid	16	B	74864.57772623
mid	16	boot	74864.58424310
mid	17	B	74865.20078534
mid	17	boot	74865.18405026
mid	19	B	74866.81408105
mid	19	boot	74866.83076630
mid	15	B	74863.59818016
mid	15	boot	74863.60692264
mid	14	B	74863.38390702
mid	14	boot	74863.38097370
e12	31	B	267653395656.59056338
e12	31	boot	267653395656.59623867
e12	32	B	267653395656.99012475
e12	32	boot	267653395656.97507022
e12	33	B	267653395657.20483686
e12	33	boot	267653395657.20860545
e12	35	B	267653395657.72589105
e12	35	boot	267653395657.72029656
e12	30	B	267653395656.40435708
e12	30	boot	267653395656.41116052
e12	37	B	267653395658.27789865
e12	37	boot	267653395658.28208443
e12	36	B	267653395657.97698822
e12	36	boot	267653395657.98724663
e12	34	B	267653395657.48938510
e12	34	boot	267653395657.48765101
e12	42	B	267653395659.52836481
e12	42	boot	267653395659.53044558
e12	38	B	267653395658.44904453
e12	38	boot	267653395658.43631094
e12	41	B	267653395659.25327654
e12	41	boot	267653395659.24911868
e12	40	B	267653395659.02186894
e12	40	boot	267653395659.02698309
e12	39	B	267653395658.67843655
e12	39	boot	267653395658.69623508
e12	44	B	267653395660.06349953
e12	44	boot	267653395660.07316155
e12	45	B	267653395660.25061993
e12	45	boot	267653395660.23970196
e12	43	B	267653395659.78443444
e12	43	boot	267653395659.78148111
e12	47	B	267653395660.83873650
e12	47	boot	267653395660.85923350
e21	32	B	144176897509546973542.80752318
e21	32	boot	144176897509546973542.80540456
e21	30	B	144176897509546973542.58066658
e21	30	boot	144176897509546973542.57444458
e12	49	B	267653395661.43345775
e12	49	boot	267653395661.45353756
e21	31	B	144176897509546973542.69195484
e21	31	boot	144176897509546973542.68392148
e21	33	B	144176897509546973542.92744458
e21	33	boot	144176897509546973542.93162457
e12	46	B	267653395660.55839968
e12	46	boot	267653395660.54753166
e12	48	B	267653395661.20077126
e12	48	boot	267653395661.18899102
e21	35	B	144176897509546973543.37351133
e21	35	boot	144176897509546973543.36397953
e21	34	B	144176897509546973543.07628233
e21	34	boot	144176897509546973543.07582989
e21	36	B	144176897509546973543.51404925
e21	36	boot	144176897509546973543.51416458
e21	37	B	144176897509546973543.61020127
e21	37	boot	144176897509546973543.61372962
e21	38	B	144176897509546973543.70534191
e21	38	boot	144176897509546973543.70888155
e21	39	B	144176897509546973543.83083228
e21	39	boot	144176897509546973543.83214927
e21	40	B	144176897509546973544.02730035
e21	40	boot	144176897509546973544.02505268
e21	41	B	144176897509546973544.17166203
e21	41	boot	144176897509546973544.16790625
e21	42	B	144176897509546973544.28527200
e21	42	boot	144176897509546973544.28508571
e21	44	B	144176897509546973544.55472638
e21	44	boot	144176897509546973544.55494977
e21	46	B	144176897509546973544.87224880
e21	46	boot	144176897509546973544.87253994
e21	43	B	144176897509546973544.40539796
e21	43	boot	144176897509546973544.40887147
e21	45	B	144176897509546973544.71548315
e21	45	boot	144176897509546973544.70807724
e21	47	B	144176897509546973545.03505407
e21	47	boot	144176897509546973545.04281806
e21	48	B	144176897509546973545.16615491
e21	48	boot	144176897509546973545.16523955
e21	49	B	144176897509546973545.26683020
e21	49	boot	144176897509546973545.25616449
e22	30	B	1370919909931995308230.63963987
e22	30	boot	1370919909931995308230.63518647
