n1000	200	1419.41088748
n1000	219	1419.42270780
n1000	239	1419.42217994
n1000	261	1419.40238738
n1000	285	1419.41251254
n1000	339	1419.42444158
n1000	311	1419.43403316
n1000	370	1419.42467189
n1000	404	1419.43259550
n1000	481	1419.44753147
n1000	441	1419.43549657
n1000	525	1419.45531202
n1000	573	1419.44887042
n1000	625	1419.44802928
n1000	682	1419.44404388
n1000	744	1419.44227863
n1000	811	1419.43905569
n1000	884	1419.43909860
n1000	964	1419.44602943
n1000	1051	1419.44508529
n1000	1146	1419.45114208
n1000	1250	1419.45415759
n1000	1363	1419.45388866
n1000	1486	1419.44645429
n1000	1620	1419.43483282
n1000	1766	1419.43317628
n1000	1925	1419.42990613
n1000	2099	1419.44452596
n1000	2288	1419.44072938
n1000	2494	1419.44358039
n1000	2719	1419.44401384
n1000	2964	1419.43614030
n1000	3231	1419.42940259
n1000	3522	1419.42593360
n1000	3839	1419.42535139
n1000	4185	1419.43077588
n1000	4562	1419.43080449
n1000	4973	1419.42846990
n1000	5421	1419.42029453
n10000	200	9877.75733041
n1000	5909	1419.42453742
n10000	219	9877.76920080
n10000	239	9877.77030658
n10000	261	9877.75853919
n10000	285	9877.77554082
n10000	311	9877.76672744
n10000	339	9877.77771663
n10000	370	9877.78245305
n1000	6441	1419.42305684
n10000	404	9877.77875804
n10000	441	9877.78585910
n10000	481	9877.76664876
n10000	525	9877.77148103
n1000	7021	1419.42564035
n10000	573	9877.77469539
n10000	625	9877.76919078
n10000	682	9877.77806854
n10000	744	9877.77778816
n1000	7653	1419.42243171
n10000	811	9877.77655506
n10000	964	9877.77069139
n10000	884	9877.76851844
n10000	1146	9877.78951406
n10000	1051	9877.77951192
n10000	1250	9877.79412031
n1000	8342	1419.42525840
n10000	1363	9877.79810571
n10000	1486	9877.79103898
n10000	1620	9877.79052400
n10000	1766	9877.78982305
n1000	9093	1419.42137313
n10000	1925	9877.78411245
n10000	2099	9877.78377485
n10000	2288	9877.78583192
n1000	9912	1419.42179656
n10000	2494	9877.77969789
n10000	2719	9877.78457879
n10000	2964	9877.78745412
n10000	3231	9877.79000615
n10000	3522	9877.78321266
n10000	3839	9877.79402446
n10000	4185	9877.79532909
n10000	4562	9877.79706287
n10000	4973	9877.79643916
n10000	5421	9877.79230356
n100000	200	74920.79940338
n10000	5909	9877.79382705
n100000	219	74920.78767462
n100000	239	74920.79621477
n100000	261	74920.82082386
n100000	285	74920.80685205
n100000	311	74920.83299465
n100000	339	74920.82726688
n10000	6441	9877.79279565
n100000	370	74920.82486219
n100000	404	74920.83646793
n100000	441	74920.85490150
n100000	481	74920.85469694
n10000	7021	9877.79339218
n100000	525	74920.84850998
n100000	573	74920.83875675
n100000	625	74920.84160919
n100000	744	74920.83550949
n100000	682	74920.84179516
n100000	811	74920.84080667
n100000	884	74920.83858366
n10000	7653	9877.78761434
n100000	964	74920.83206482
n100000	1051	74920.82166786
n100000	1146	74920.82869596
n10000	8342	9877.77885103
n100000	1250	74920.82835550
n100000	1363	74920.83585424
n100000	1486	74920.84486933
n10000	9093	9877.77859210
n100000	1766	74920.84861297
n100000	1620	74920.85026665
n100000	1925	74920.85434790
n100000	2099	74920.85798139
n10000	9912	9877.77849626
n100000	2288	74920.85731764
n100000	2494	74920.85304756
n100000	2719	74920.85108776
n100000	2964	74920.84679909
n100000	3231	74920.83708448
n100000	3522	74920.84245033
n100000	3839	74920.84398527
n100000	4185	74920.84697075
n100000	4562	74920.84397812
n100000	4973	74920.84181518
n100000	5421	74920.83325071
n1e12	200	267653395661.76224027
n1e12	219	267653395661.77035556
n1e12	239	267653395661.78186116
n100000	5909	74920.82280941
n1e12	261	267653395661.77518211
n1e12	285	267653395661.77954087
n1e12	311	267653395661.77506337
n1e12	339	267653395661.77262006
n1e12	370	267653395661.76754317
n1e12	404	267653395661.75412784
n1e12	441	267653395661.75817905
n100000	6441	74920.82876463
n1e12	481	267653395661.76093707
n100000	7021	74920.82790203
n1e12	525	267653395661.75772414
n1e12	573	267653395661.75519500
n1e12	625	267653395661.75055728
n1e12	682	267653395661.75161872
n1e12	744	267653395661.75202499
n1e12	884	267653395661.75526509
n1e12	811	267653395661.75594173
n100000	7653	74920.83651085
n1e12	964	267653395661.75598035
n1e12	1051	267653395661.75275741
n100000	8342	74920.82885475
n1e12	1146	267653395661.76033340
n1e12	1250	267653395661.76131616
n1e12	1363	267653395661.76308570
n1e12	1486	267653395661.77097068
n100000	9093	74920.82833977
n1e12	1620	267653395661.77055297
n1e12	1766	267653395661.77562699
n1e12	1925	267653395661.77436385
n1e12	2288	267653395661.77064452
n1e12	2099	267653395661.77055011
n100000	9912	74920.82643146
n1e12	2494	267653395661.76695380
n1e12	2719	267653395661.77456126
n1e12	2964	267653395661.77478013
n1e12	3231	267653395661.78015742
n1e12	3522	267653395661.78581224
n1e12	3839	267653395661.79046998
n1e12	4185	267653395661.79335389
n1e12	4562	267653395661.79415784
n1e12	4973	267653395661.79524789
n1e12	5421	267653395661.78915534
n1e12	5909	267653395661.78587661
n1e12	6441	267653395661.79392610
n1e12	7021	267653395661.79283319
n1e12	8342	267653395661.79145990
n1e12	9093	267653395661.79463849
n1e12	7653	267653395661.78900085
n1e12	9912	267653395661.79476438
n99950	200	74887.30047851
n99950	219	74887.31340747
n99950	239	74887.33345180
n99950	285	74887.29608970
n99950	261	74887.31431585
n99950	311	74887.28905301
n99950	339	74887.27706819
n99950	370	74887.28049426
n99950	404	74887.28036409
n99950	441	74887.28567558
n99950	481	74887.26573139
n99950	525	74887.26517206
n99950	573	74887.26328950
n99950	625	74887.25570493
n99950	682	74887.24386888
n99950	744	74887.24645381
n99950	811	74887.23606258
n99950	884	74887.23861747
n99950	964	74887.22819620
n99950	1051	74887.23005157
n99950	1146	74887.22752099
n99950	1250	74887.22494893
n99950	1363	74887.23848873
n99950	1486	74887.23559337
n99950	1620	74887.23479944
n99950	1766	74887.23510700
n99950	1925	74887.24179178
n99950	2099	74887.25917249
n99950	2288	74887.26179748
n99950	2494	74887.27141195
n99950	2719	74887.28096776
n99950	2964	74887.28986411
n99950	3231	74887.28541952
n99950	3522	74887.28904014
n99950	3839	74887.27586513
n99950	4185	74887.27445894
n99950	4562	74887.27892356
n99950	4973	74887.28660112
n99950	5421	74887.27349763
n99950	5909	74887.28504758
n99950	6441	74887.30243259
n99950	7653	74887.29760747
n99950	7021	74887.30886846
n99950	8342	74887.30325227
n99950	9093	74887.29810100
n99950	9912	74887.29940133
