56	B	1370919909931995308234.11561460
56	W32R1	1370919909931995308234.12203561
56	W32R2	1370919909931995308234.12249086
56	W32R3	1370919909931995308234.12714847
56	W64R2	1370919909931995308234.12740565
54	B	1370919909931995308233.84197663
54	W32R1	1370919909931995308233.83936339
54	W32R2	1370919909931995308233.84035449
54	W32R3	1370919909931995308233.83610375
54	W64R2	1370919909931995308233.83175168
50	B	1370919909931995308233.30753954
50	W32R1	1370919909931995308233.31538846
50	W32R2	1370919909931995308233.31925996
50	W32R3	1370919909931995308233.31874176
50	W64R2	1370919909931995308233.31349456
53	B	1370919909931995308233.68950714
53	W32R1	1370919909931995308233.68353906
53	W32R2	1370919909931995308233.67949561
53	W32R3	1370919909931995308233.68153384
53	W64R2	1370919909931995308233.68308843
51	B	1370919909931995308233.42489140
51	W32R1	1370919909931995308233.42946227
51	W32R2	1370919909931995308233.42948914
51	W32R3	1370919909931995308233.43408073
51	W64R2	1370919909931995308233.43587637
55	B	1370919909931995308233.98743948
55	W32R1	1370919909931995308233.99187984
55	W32R2	1370919909931995308233.99621502
55	W32R3	1370919909931995308233.99191822
55	W64R2	1370919909931995308233.98837991
57	B	1370919909931995308234.23368744
57	W32R1	1370919909931995308234.23675823
57	W32R2	1370919909931995308234.23120702
57	W32R3	1370919909931995308234.24567886
57	W64R2	1370919909931995308234.24429778
52	B	1370919909931995308233.54982355
52	W32R1	1370919909931995308233.54824670
52	W32R2	1370919909931995308233.54473142
52	W32R3	1370919909931995308233.55099045
52	W64R2	1370919909931995308233.55473297
58	B	1370919909931995308234.35309210
58	W32R1	1370919909931995308234.35102392
58	W32R2	1370919909931995308234.34186607
58	W32R3	1370919909931995308234.35729447
58	W64R2	1370919909931995308234.35400028
60	B	1370919909931995308234.65668927
60	W32R1	1370919909931995308234.65977848
60	W32R2	1370919909931995308234.66205009
60	W32R3	1370919909931995308234.65804962
60	W64R2	1370919909931995308234.64949365
59	B	1370919909931995308234.48839259
59	W32R1	1370919909931995308234.48418869
59	W32R2	1370919909931995308234.47725716
59	W32R3	1370919909931995308234.48303100
59	W64R2	1370919909931995308234.47921939
61	B	1370919909931995308234.83350177
61	W32R1	1370919909931995308234.84597684
61	W32R2	1370919909931995308234.84488748
61	W32R3	1370919909931995308234.85907221
61	W64R2	1370919909931995308234.84248152
62	B	1370919909931995308234.97383624
62	W32R1	1370919909931995308234.98380248
62	W32R2	1370919909931995308234.97248433
62	W32R3	1370919909931995308235.01251432
62	W64R2	1370919909931995308234.98398442
63	B	1370919909931995308235.08892075
63	W32R1	1370919909931995308235.09189173
63	W32R2	1370919909931995308235.07762256
63	W32R3	1370919909931995308235.11686643
63	W64R2	1370919909931995308235.08973681
64	B	1370919909931995308235.19484712
64	W32R1	1370919909931995308235.19312288
64	W32R2	1370919909931995308235.17817506
64	W32R3	1370919909931995308235.20800390
64	W64R2	1370919909931995308235.18346602
65	B	1370919909931995308235.30301797
65	W32R1	1370919909931995308235.30157777
65	W32R2	1370919909931995308235.28956255
65	W32R3	1370919909931995308235.30984432
65	W64R2	1370919909931995308235.28589450
66	B	1370919909931995308235.42561123
66	W32R1	1370919909931995308235.43096054
66	W32R2	1370919909931995308235.42908045
66	W32R3	1370919909931995308235.43643114
66	W64R2	1370919909931995308235.41598048
69	B	1370919909931995308235.90834120
69	W32R1	1370919909931995308235.90464397
69	W32R2	1370919909931995308235.89335346
69	W32R3	1370919909931995308235.90437067
69	W64R2	1370919909931995308235.90494414
67	B	1370919909931995308235.57834394
67	W32R1	1370919909931995308235.59094644
67	W32R2	1370919909931995308235.59486093
67	W32R3	1370919909931995308235.59622052
67	W64R2	1370919909931995308235.58582053
68	B	1370919909931995308235.75422661
68	W32R1	1370919909931995308235.76110671
68	W32R2	1370919909931995308235.75681298
68	W32R3	1370919909931995308235.76313189
68	W64R2	1370919909931995308235.76317412
